City,Country,IATA,ICAO,Airport
Aksu,People's Republic of China,AKU,ZWAK,Aksu Airport
Almaty,Kazakhstan,ALA,UAAA,Almaty International Airport
Altay,People's Republic of China,AAT,ZWAT,Altay Airport
Amsterdam,Netherlands,AMS,EHAM,Amsterdam Airport Schiphol
Anchorage,United States,ANC,PANC,Ted Stevens Anchorage International Airport [Cargo]
Anqing,People's Republic of China,AQG,ZSAQ,Anqing Tianzhushan Airport
Anshan,People's Republic of China,AOG,ZYAS,Anshan Teng'ao Airport
Anshun,People's Republic of China,AVA,ZUAS,Anshun Huangguoshu Airport
Ashgabat,Turkmenistan,ASB,UTAA,Ashgabat Airport
Astana,Kazakhstan,TSE,UACC,Astana International Airport
Auckland,New Zealand,AKL,NZAA,Auckland Airport
Baishan,People's Republic of China,NBS,ZYBS,Changbaishan Airport
Baku,Azerbaijan,GYD,UBBB,Heydar Aliyev International Airport
Bangkok,Thailand,BKK,VTBS,Suvarnabhumi Airport
Baotou,People's Republic of China,BAV,ZBAO,Baotou Airport
Beijing,People's Republic of China,PEK,ZBAA,Capital International Airport Hub
Beihai,People's Republic of China,BHY,ZGBH,Fucheng Airport
Bijie,People's Republic of China,BFJ,ZUBJ,Bijie Feixiong Airport
Birmingham,United Kingdom,BHX,EGBB,Birmingham Airport
Bishkek,Kyrgyzstan,FRU,UAFM,Manas International Airport
Brisbane,Australia,BNE,YBBN,Brisbane Airport[1]
Busan,South Korea,PUS,RKPK,Gimhae International Airport
Cairns,Australia,CNS,YCBS,Cairns Airport [#][2]
Cebu,Philippines,CEB,RPVM,Mactan-Cebu International Airport [F]
Changchun,People's Republic of China,CGQ,ZYCC,Changchun Longjia International Airport
Changde,People's Republic of China,CGD,ZGCD,Changde Airport
Changsha,People's Republic of China,CSX,ZGCS,Changsha Huanghua International Airport
Changzhi,People's Republic of China,CIH,ZBCZ,Changzhi Wangcun Airport
Changzhou,People's Republic of China,CZX,ZSCG,Changzhou Benniu Airport
Chengdu,People's Republic of China,CTU,ZUUU,Shuangliu International Airport
Cheongju,South Korea,CJJ,RKTU,Cheongju Airport[3]
Chiang Mai,Thailand,CNX,VTCC,Chiang Mai International Airport[4]
Chicago,United States,ORD,KORD,O'Hare International Airport [Cargo]
Chongqing,People's Republic of China,CKG,ZUCK,Jiangbei International Airport Hub
Daegu,South Korea,TAE,RKTN,Daegu Airport
Dali,People's Republic of China,DLU,ZPDL,Dali Airport
Dalian,People's Republic of China,DLC,ZYTL,Zhoushuizi International Airport
Da Nang,Vietnam,DAD,VVDN,Da Nang International Airport
Dandong,People's Republic of China,DDG,ZYDD,Dandong Airport
Daqing,People's Republic of China,DQA,ZYDQ,Daqing Saertu Airport
Datong,People's Republic of China,DAT,ZBDT,Datong Airport
Delhi,India,DEL,VIDP,Indira Gandhi International Airport
Denpasar,Indonesia,DPS,WADD,Ngurah Rai International Airport[5]
Dhaka,Bangladesh,DAC,VGZR,Shahjalal International Airport
Dubai,United Arab Emirates,DXB,OMDB,Dubai International Airport
Dunhuang,People's Republic of China,DNH,ZLDH,Dunhuang Airport
Dushanbe,Tajikistan,DYU,UTDD,Dushanbe Airport
Enshi,People's Republic of China,ENH,ZHES,Enshi Airport
Frankfurt[6],Germany,FRA,EDDF,Frankfurt Airport
Fukuoka,Japan,FUK,RJFF,Fukuoka Airport
Fuyang,People's Republic of China,FUG,ZSFY,Fuyang Xiguan Airport
Fuyuan,People's Republic of China,FYJ,ZYFY,Fuyuan Dongji Airport
Fuzhou,People's Republic of China,FOC,ZSFZ,Changle International Airport
Ganzhou,People's Republic of China,KOW,ZSGZ,Ganzhou Huangjin Airport
Guam,Guam,GUM,PGUM,Antonio B. Won Pat International Airport [F]
Guangzhou,People's Republic of China,CAN,ZGGG,Baiyun International Airport Hub
Guiyang,People's Republic of China,KWE,ZUGY,Longdongbao International Airport
Guilin,People's Republic of China,KWL,ZGKL,Liangjiang International Airport
Gwangju,South Korea,KWJ,RKJJ,Gwangju Airport [F][7]
Haikou,People's Republic of China,HAK,ZJHK,Meilan International Airport
Hailar,People's Republic of China,HLD,ZBLA,Hailar Dongshan Airport
Hami City,People's Republic of China,HMI,ZWHM,Hami Airport
Handan,People's Republic of China,HDG,ZBHD,Handan Airport
Hangzhou,People's Republic of China,HGH,ZSHC,Xiaoshan International Airport ^
Hanoi,Vietnam,HAN,VVNB,Noi Bai International Airport
Harbin,People's Republic of China,HRB,ZYHB,Taiping International Airport
Hefei,People's Republic of China,HFE,ZSOF,Hefei Luogang International Airport [F]
Hefei,People's Republic of China,HFE,ZSOF,Hefei Xinqiao International Airport
Heihe,People's Republic of China,HEK,ZYHE,Heihe Airport
Hiroshima,Japan,HIJ,RJOA,Hiroshima Airport [F]
Ho Chi Minh City,Vietnam,SGN,VVTS,Tan Son Nhat International Airport
Hohhot,People's Republic of China,HET,ZBHH,Hohhot Baita International Airport ^
Hong Kong,Hong Kong,HKG,VHHH,Hong Kong International Airport
Hotan,People's Republic of China,HTN,ZWTN,Hotan Airport
Huaihua,People's Republic of China,HJJ,ZGCJ,Zhijiang Airport
Huangshan,People's Republic of China,TXN,ZSTX,Huangshan Tunxi International Airport
Islamabad,Pakistan,ISB,OPRN,Benazir Bhutto International Airport
Jakarta,Indonesia,CGK,WIII,Soekarno-Hatta International Airport
Jeddah,Saudi Arabia,JED,OEJN,King Abdul Aziz International Airport [F]
Jeju,South Korea,CJU,RKPC,Jeju International Airport
Jiamusi,People's Republic of China,JMU,ZYJM,Jiamusi Airport
Jinan,People's Republic of China,TNA,ZSJN,Yaoqiang International Airport
Ji'an,People's Republic of China,JGS,ZLJN,Jinggangshan Airport
Jingdezhen,People's Republic of China,JDZ,ZSJD,Jingdezhen Airport
