City,Country,IATA,ICAO,Airport
Addis Ababa,Ethiopia,ADD,HAAB,Bole International Airport
Aksu,People's Republic of China,AKU,ZWAK,Aksu Airport
Almaty,Kazakhstan,ALA,UAAA,Almaty International Airport
Astana,Kazakhstan,TSE,HAAB,Astana International Airport
Athens,Greece,ATH,LGAV,Athens International Airport
Auckland,New Zealand,AKL,NZAA,Auckland Airport
Baghdad,Iraq,BGW,ORBI,Baghdad International Airport
Bangalore,India,BLR,VOBL,Bengaluru International Airport
Bangkok,Thailand,BKK,VTBS,Suvarnabhumi Airport
Baotou,People's Republic of China,BAV,ZBOW,Baotou Erliban Airport
Bayannur,People's Republic of China,RLK,ZBYZ,Bayannur Tianjitai Airport
Beihai,People's Republic of China,BHY,ZGBH,Beihai Fucheng Airport
Beijing,People's Republic of China,PEK,ZBAA,Beijing Capital International Airport
Belgrade,Serbia,BEG,LYBE,Belgrade Nikola Tesla Airport
Berlin,Germany,TXL,EDDT,Berlin Tegel Airport
Budapest,Hungary,BUD,LHBP,Budapest Ferenc Liszt International Airport
Busan,Korea,PUS,RKPK,Gimhae International Airport
Changchun,People's Republic of China,CGQ,ZYCC,Longjia International Airport
Changde,People's Republic of China,CGD,ZGCD,Changde Airport
Changzhou,People's Republic of China,CZX,ZSCG,Benniu Airport
Chaoyang,People's Republic of China,CHG,ZYCY,Chaoyang Airport
Chengdu,People's Republic of China,CTU,ZUUU,Shuangliu International Airport
Changsha,People's Republic of China,CSX,ZGCS,Changsha Huanghua International Airport
Cairo,Egypt,CAI,HECA,Cairo International Airport
Changzhi,People's Republic of China,CIH,ZBCZ,Changzhi Wangcun Airport
Chiang Mai,Thailand,CNX,VTCC,Chiang Mai Airport
Chifeng,People's Republic of China,CIF,ZBCF,Chifeng Yulong Airport
Chita,Russia,HTA,UIAA,Kadala Airport
Chongqing,People's Republic of China,CKG,ZUCK,Chongqing Jiangbei International Airport
Colombo,Sri Lanka,CMB,VCBI,Bandaranaike International Airport
Copenhagen,Denmark,CPH,EKCH,Copenhagen Airport
Daegu,South Korea,TAE,RKTN,Daegu Airport
Dalian,People's Republic of China,DLC,ZYTL,Zhoushuizi International Airport
Dandong,People's Republic of China,DDG,ZYDD,Dandong Langtou Airport
Daocheng,People's Republic of China,DCY,ZUDC,Daocheng Yading Airport
Daqing,People's Republic of China,DQA,ZYDQ,Daqing Sartu Airport
Datong,People's Republic of China,DAT,ZBDT,Datong Airport
Dazhou,People's Republic of China,DAX,ZUDX,Dazhou Heshi Airport
Delhi,India,DEL,VIDP,Indira Gandhi International Airport
Dhaka,Bangladesh,DAC,VGHS,Shahjalal International Airport
Dubai,United Arab Emirates,DXB,OMDB,Dubai International Airport
Frankfurt,Germany,FRA,EDDF,Frankfurt Airport
Fukuoka,Japan,FUK,RJFF,Fukuoka Airport
Fuyang,People's Republic of China,FUG,ZSFY,Fuyang Xiguan Airport
Fuyuan,People's Republic of China,FYJ,ZYFY,Fuyuan Dongji Airport
Fuzhou,People's Republic of China,FOC,ZSFZ,Fuzhou Changle International Airport
Ganzhou,People's Republic of China,KOU,ZSGZ,Ganzhou Huangjin Airport
Geneva,Switzerland,GVA,LSGG,Geneva Airport
Guangyuan,People's Republic of China,GYS,ZUGU,Guangyuan Panlong Airport
Guangzhou,People's Republic of China,CAN,ZGGG,Baiyun International Airport
Guilin,People's Republic of China,KWL,ZGKL,Guilin Liangjiang International Airport
Guiyang,People's Republic of China,KWE,ZUGY,Guiyang Longdongbao International Airport
Haikou,People's Republic of China,HAK,ZJHK,Meilan International Airport
Hailar,People's Republic of China,HLD,ZBLA,Hulunbuir Hailar Airport
Hakodate,Japan,HKD,RJCH,Hakodate Airport
Hami City,People's Republic of China,HMI,ZWHM,Hami Airport
Hangzhou,People's Republic of China,HGH,ZSHC,Hangzhou Xiaoshan International Airport
Hanoi,Viet Nam,HAN,VVNB,Noi Bai International Airport
Harbin,People's Republic of China,HRB,ZYHB,Taiping International Airport
Hefei,People's Republic of China,HFE,ZSOF,Hefei Xinqiao International Airport
Hiroshima,Japan,HIJ,RJOA,Hiroshima Airport
Ho Chi Minh City,Viet Nam,SGN,VVTS,Tan Son Nhat International Airport
Hohhot,People's Republic of China,HET,ZBHH,Hohhot Baita International Airport
Honolulu,United States,HNL,PHNL,Honolulu International Airport
Houston,United States,IAH,KIAH,George Bush Intercontinental Airport
Hong Kong,Hong Kong,HKG,VHHH,Hong Kong International Airport
Hotan,People's Republic of China,HTN,ZWTN,Hotan Airport
Huangshan,People's Republic of China,TXN,ZSTX,Huangshan Tunxi International Airport
Irkutsk,Russia,IKT,UIII,International Airport Irkutsk
Jeju,Korea,CJU,RKPC,Jeju International Airport
Jiamusi,People's Republic of China,JMU,ZYJM,Jiamusi Airport
Ji'an,People's Republic of China,JGS,ZLJN,Jinggangshan Airport
Jinan,People's Republic of China,TNA,ZSJN,Jinan Yaoqiang International Airport
Jiuzhaigou,People's Republic of China,JZH,ZUJZ,Jiuzhaigou Huanglong Airport
Jingdezhen,People's Republic of China,JDZ,ZSJD,Jingdezhen Luojia Airport
Jinghong,People's Republic of China,JHG,ZPJH,Xishuangbanna Gasa Airport
Johannesburg,South Africa,JNB,FAOR,O.R. Tambo International Airport
Karachi,Pakistan,KHI,OPKC,Jinnah International Airport
Karamay,People's Republic of China,KRY,ZWKM,Karamay Airport
Kashgar,People's Republic of China,KHG,ZWSH,Kashgar Airport
Kathmandu,Nepal,KTM,VNKT,Tribhuvan International Airport
Korla,People's Republic of China,KRL,ZWKL,Korla Airport
Kuala Lumpur,Malaysia,KUL,WMMK,Kuala Lumpur International Airport
Kunming,People's Republic of China,KMG,ZPPP,Kunming Changshui International Airport
Kuwait City,Kuwait,KWI,OKBK,Kuwait International Airport
Lanzhou,People's Republic of China,LHW,ZLLL,Lanzhou Airport
Lhasa,People's Republic of China,LXA,ZULS,Lhasa Gonggar Airport
Lijiang,People's Republic of China,LJG,ZPLJ,Lijiang Airport
Liuzhou,People's Republic of China,LZH,ZGZH,Liuzhou Airport
London,United Kingdom,LGW,EGKK,Gatwick Airport [seasonal]
London,United Kingdom,LHR,EGLL,London Heathrow Airport
Los Angeles,United States,LAX,KLAX,Los Angeles International Airport
Luzhou,People's Republic of China,LZO,ZULZ,Luzhou Lantian Airport
Macau,Macao,MFM,VMMC,Macau International Airport
Madrid,Spain,MAD,LEMD,Madrid-Barajas Airport
Mandalay,Myanmar,MDY,VYMD,Mandalay International Airport
Manila,Philippines,MNL,RPLL,Ninoy Aquino International Airport
Melbourne,Australia,MEL,YMML,Melbourne Airport
Mianyang,People's Republic of China,MIG,ZUMY,Mianyang Nanjiao Airport
Milan,Italy,MXP,LIMC,Malpensa Airport
Minsk,Belarus,MSQ,UMMS,Minsk National Airport
Montreal,Canada,YUL,CYUL,Pierre Elliott Trudeau International Airport
Moscow,Russia,SVO,UUEE,Sheremetyevo International Airport
Mudanjiang,People's Republic of China,MDG,ZYMD,Mudanjiang Airport
