City,Country,IATA,ICAO,Airport
Anchorage,United States,ANC,PANC,Anchorage International Airport
Anqing,People's Republic of China,AQG,ZSAQ,Anqing Tianzhushan Airport
Asahikawa,Japan,AKJ,RJEC,Asahikawa Airport
Auckland,New Zealand,AKL,NZAA,Auckland Airport
Bahrain,Bahrain,BAH,OBBI,Bahrain International Airport
Baishan,People's Republic of China,NBS,ZYBS,Changbaishan Airport
Bangkok,Thailand,BKK,VTBS,Suvarnabhumi Airport
Baoshan,People's Republic of China,BSD,ZPBS,Baoshan Yunduan Airport
Baotou,People's Republic of China,BAV,ZBOW,Baotou Erliban Airport
Beijing,People's Republic of China,PEK,ZBAA,Beijing Capital International Airport
Beihai,People's Republic of China,BHY,ZGBH,Fucheng Airport
Brisbane,Australia,BNE,YBBN,Brisbane Airport
Brussels,Belgium,BRU,EBBR,Brussels Airport
Busan,Korea,PUS,RKPK,Gimhae International Airport
Cairns,Australia,CNS,YCBS,Cairns Airport
Cebu,Philippines,CEB,RPVM,Mactan-Cebu International Airport
Changchun,People's Republic of China,CGQ,ZYCC,Longjia International Airport
Changsha,People's Republic of China,CSX,ZGCS,Huanghua International Airport
Changzhi,People's Republic of China,CIH,ZBCZ,Changzhi Wangcun Airport
Changzhou,People's Republic of China,CZX,ZSCG,Benniu Airport
Chengdu,People's Republic of China,CTU,ZUUU,Shuangliu International Airport
Cheongju,Korea,CJJ,RKTU,Cheongju International Airport
Chiang Mai,Thailand,CNX,VTCC,Chiang Mai International Airport
Chiang Rai,Thailand,CEI,VTCT,Mae Fah Luang International Airport
Chicago,United States,ORD,KORD,O'Hare International Airport
Chifeng,People's Republic of China,CIF,ZBCF,Chifeng Yulong Airport
Chongqing,People's Republic of China,CKG,ZUCK,Jiangbei International Airport
Colombo,Sri Lanka,CMB,VCBI,Bandaranaike International Airport
Copenhagen,Denmark,CPH,EKCH,Copenhagen Airport
Da Nang,Vietnam,DAD,VVDN,Da Nang International Airport
Daegu,Korea,TAE,RKTN,Daegu International Airport
Dali,People's Republic of China,DLU,ZPDL,Dali Airport
Dalian,People's Republic of China,DLC,ZYTL,Zhoushuizi International Airport
Daocheng,People's Republic of China,DCY,ZUDC,Daocheng Yading Airport
Daqing,People's Republic of China,DQA,ZYDQ,Daqing Sartu Airport
Datong,People's Republic of China,DAT,ZBDT,Datong Airport
Dazhou,People's Republic of China,DAX,ZUDX,Dazhou Heshi Airport
Delingha,People's Republic of China,HXD,ZLDL,Delingha Airport
Delhi,India,DEL,VIDP,Indira Gandhi International Airport
Denpasar,Indonesia,DPS,WADD,Ngurah Rai International Airport
Dhaka,Bangladesh,DAC,VGHS,Shahjalal International Airport
Dongying,People's Republic of China,DOY,ZSDY,Dongying Shengli Airport
Dubai,United Arab Emirates,DXB,OMDB,Dubai International Airport
Dunhuang,People's Republic of China,DNH,ZLDH,Dunhuang Airport
Enshi,People's Republic of China,ENH,ZHES,Enshi Airport
Frankfurt,Germany,FRA,EDDF,Frankfurt Airport
Fukushima,Japan,FKS,RJSF,Fukushima Airport
Fukuoka,Japan,FUK,RJFF,Fukuoka Airport
Fuzhou,People's Republic of China,FOC,ZSFZ,Changle International Airport
Ganzhou,People's Republic of China,KOW,ZSGZ,Ganzhou Huangjin Airport
Golmud,People's Republic of China,GOQ,ZLGM,Golmud Airport
Guangzhou,People's Republic of China,CAN,ZGGG,Baiyun International Airport
